;GASTO TRÁFEGO;;;CAPTAÇÃO CTWA;;;CAPTAÇÃO PRÉ SELL;;;;;CAPTAÇÃO ORG;CAPTAÇÃO TOTAL;;QUALIFICAÇÃO;;;;;CONVERSÃO;;;;;;RESULTADO;;MÉTRICAS / INDICADORES / KPIS;;;;;;;;;;;;;;;;;
03/03/2024; R$ 68,00 ;2154;8270;9637;37;65;6486;43;94;12;41;20686;27;5;26113;63;22;4;42;37;1;32;40;14;80;27088;16384;82;24;60;40;45;58;95;15;70;63;83;27;63;100;46;61;9;48
04/03/2024; R$ 172,00 ;23202;26382;29664;79;92;13963;50;84;68;53;27751;19;40;4301;12;0;34;92;19;9;44;42;17;10;12090;29968;94;42;33;7;75;95;95;40;87;15;10;75;81;60;18;50;52;86
05/03/2024; R$ 98,00 ;18674;2038;20743;95;52;14138;50;75;9;18;14738;53;79;24633;54;10;42;81;98;9;20;33;92;49;24216;15835;57;95;94;33;4;70;90;97;15;22;51;79;81;50;19;74;13;8
06/03/2024; R$ 184,00 ;2926;4099;15487;23;85;3760;40;51;17;28;8599;32;23;119;23;40;31;96;43;37;9;77;99;93;26243;28555;24;40;21;96;87;69;44;31;35;88;45;94;24;86;78;70;10;56
07/03/2024; R$ 33,00 ;7530;10753;25319;57;0;9069;31;9;98;69;16511;3;94;3901;67;69;53;88;62;6;8;30;17;73;9086;7856;100;43;78;82;18;80;72;68;68;29;51;46;92;92;16;21;10;65
08/03/2024; R$ 20,00 ;9077;8665;25896;6;85;15537;0;14;17;84;23477;8;13;19519;78;44;79;98;20;47;64;93;9;29;6226;10352;50;59;32;75;86;6;46;92;39;54;12;21;18;42;27;41;38;73
09/03/2024; R$ 66,00 ;8669;26091;22357;68;42;20066;43;15;89;70;233;96;42;277;32;12;96;94;47;57;5;83;23;14;1193;8617;51;3;2;82;45;25;76;34;72;54;22;73;43;74;59;70;87;82
10/03/2024; R$ 73,00 ;16472;9555;12481;13;62;6327;10;3;42;49;955;82;55;22207;43;24;76;6;81;46;93;41;73;34;25709;10303;28;1;68;9;6;1;14;83;100;12;25;47;83;93;46;42;75;66
11/03/2024; R$ 41,00 ;5056;1477;27841;84;4;10555;34;65;5;50;29385;43;42;15662;93;32;1;81;92;62;6;28;8;20;16545;22358;55;81;18;49;25;90;91;70;18;84;84;16;54;83;65;55;88;40
12/03/2024; R$ 119,00 ;2809;12812;20692;51;59;28168;67;67;57;66;26862;47;60;1371;41;43;12;60;27;72;27;24;44;1;11186;15156;1;21;36;82;30;4;39;18;5;34;34;28;79;45;61;7;77;88
13/03/2024; R$ 87,00 ;23969;19788;14199;63;1;20833;71;39;100;34;11012;19;17;12347;63;63;68;93;46;73;61;9;21;18;15411;20891;31;10;39;75;69;19;40;60;64;75;86;85;86;94;30;60;38;33
14/03/2024; R$ 10,00 ;11579;10482;24283;66;56;13430;44;4;65;64;22904;85;9;26109;14;76;81;92;4;31;17;14;63;29;6366;4485;7;11;95;61;16;82;31;8;82;71;30;27;68;61;4;21;46;54
15/03/2024; R$ 160,00 ;17995;7734;27758;29;67;1904;8;31;10;90;10034;18;41;1894;78;41;43;76;40;41;64;100;17;5;4337;16434;36;10;29;93;19;13;45;81;89;59;66;45;18;32;88;86;50;30
16/03/2024; R$ 26,00 ;23771;25439;9649;1;92;18589;0;36;95;28;21361;18;89;29692;4;31;100;57;52;8;68;17;3;27;11476;25511;32;85;53;99;99;47;56;27;24;38;21;80;21;61;58;14;32;41
17/03/2024; R$ 72,00 ;3465;26426;19021;15;24;20940;72;91;31;12;26525;16;23;15072;74;48;100;73;31;70;61;87;76;32;23226;2480;23;99;47;89;32;48;12;8;5;14;30;48;22;24;50;75;83;54
18/03/2024; R$ 65,00 ;19157;20157;28446;84;34;10134;2;68;56;76;9993;96;41;6250;64;32;85;27;45;55;20;28;84;100;3811;29939;8;39;2;82;3;83;73;75;52;89;28;8;85;31;31;4;78;45
19/03/2024; R$ 83,00 ;10536;3237;4839;59;77;8632;83;54;19;6;13258;94;72;12886;84;68;79;28;21;6;53;65;32;39;16936;19743;96;52;91;17;82;48;2;85;79;24;91;23;93;94;43;95;46;95
20/03/2024; R$ 128,00 ;19850;3932;12645;18;43;11642;65;69;91;39;1133;79;71;11962;59;53;21;30;92;64;68;3;84;79;36;6400;96;8;11;52;88;10;21;17;49;10;74;43;41;1;46;67;70;27
21/03/2024; R$ 137,00 ;21113;28996;584;39;66;1942;76;52;77;29;15021;84;91;10864;3;14;76;85;2;57;88;47;72;7;3966;20552;96;52;70;40;61;13;8;78;17;24;30;37;78;93;65;37;43;30
22/03/2024; R$ 105,00 ;15946;22151;14886;38;98;5989;100;74;41;67;26851;97;92;1104;85;74;47;75;81;37;29;91;13;70;24519;13323;92;41;0;17;59;27;82;82;72;94;71;89;66;35;31;64;36;99
23/03/2024; R$ 199,00 ;9794;3106;24825;37;40;23322;24;76;38;65;24955;68;6;14798;29;71;69;77;29;36;37;54;16;21;14304;15475;0;7;27;80;38;78;34;93;80;90;89;35;88;72;53;3;87;6
24/03/2024; R$ 157,00 ;9035;26020;23985;33;77;23404;20;90;63;66;15441;54;98;12970;72;81;83;65;11;40;25;12;15;11;12706;9821;88;25;35;61;12;80;60;1;56;70;53;15;51;91;48;42;71;27
25/03/2024; R$ 134,00 ;7137;12671;26512;10;61;5731;24;15;95;88;28859;47;1;15739;42;10;20;48;36;67;13;37;13;73;3015;21464;53;60;42;66;76;57;37;70;52;89;19;49;34;83;51;13;62;69
26/03/2024; R$ 72,00 ;18342;9281;13677;53;60;23985;57;3;31;1;8895;72;25;9201;73;51;77;13;66;31;34;42;28;75;720;20004;59;18;70;23;63;90;17;55;60;55;64;5;61;44;70;3;91;15
27/03/2024; R$ 105,00 ;27281;18929;16963;74;40;4984;45;92;73;35;4644;96;68;1921;34;78;55;18;98;45;20;32;68;81;1665;28979;87;1;73;88;68;16;24;22;6;18;91;8;0;32;40;50;20;73
28/03/2024; R$ 103,00 ;5840;3187;1131;79;69;22864;94;9;84;91;655;0;64;23521;95;33;58;68;72;31;86;95;67;52;21199;18827;5;86;32;17;43;23;99;84;84;46;50;19;77;45;1;74;80;83
29/03/2024; R$ 70,00 ;12030;29796;29600;41;21;3862;11;33;3;12;15620;95;63;20249;86;77;3;50;73;92;75;18;44;30;3507;26884;86;43;90;48;25;97;78;99;1;21;41;93;97;40;72;15;72;74
30/03/2024; R$ 165,00 ;16407;2765;25831;55;7;15684;60;83;97;92;3397;74;29;28084;37;51;82;51;80;69;5;61;75;58;2844;15620;76;92;64;43;86;8;5;2;72;36;86;10;48;91;78;74;65;13
31/03/2024; R$ 60,00 ;20960;3230;27120;67;55;9957;44;39;87;76;9680;63;84;29766;29;46;90;96;15;20;8;94;2;25;23563;29515;23;79;77;78;86;80;21;26;26;94;87;99;25;86;33;23;73;17
01/04/2024; R$ 110,00 ;20774;23773;24455;31;30;23926;72;11;12;33;16580;3;72;2559;52;52;59;37;5;32;3;49;88;6;5956;6678;96;67;100;6;81;31;13;85;11;97;53;32;98;40;6;81;11;11
02/04/2024; R$ 174,00 ;15089;4228;26804;83;24;13075;28;44;29;100;10645;87;64;26834;70;82;12;45;6;24;45;61;54;73;26760;6067;44;76;26;65;35;64;90;72;99;6;81;1;70;64;42;47;42;69
03/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
04/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
05/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
06/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
07/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
08/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
09/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
10/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
11/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
12/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
13/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
14/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
15/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
16/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
17/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
18/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
19/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
20/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
21/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
22/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
23/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
24/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
25/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
26/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
27/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
28/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
29/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
30/04/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
01/05/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
02/05/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
03/05/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
04/05/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
05/05/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
06/05/2024;;;R$ 0,00;;;#DIV/0!;;;;;#DIV/0!;;0;#DIV/0!;;;;;;;;0;;;;R$ 0,00;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;
